Floor,Booths,X Pixel,Y Pixel
Arena,100,528,295
Arena,101,467,295
Arena,102,400,330
Arena,103,350,380
Arena,104,315,499
Arena,105,315,695
Arena,106,200,685
Arena,107,200,743
Arena,108,200,870
Arena,109,200,929
Arena,110,315,870
Arena,111,315,929
Arena,112,315,986
Arena,113,315,1044
Arena,114,325,1155
Arena,115,378,1204
Arena,116,420,1250
Arena,117,465,1282
Arena,118,435,1110
Arena,119,435,1051
Arena,120,435,992
Arena,121,435,933
Arena,122,435,876
Arena,123,435,759
Arena,124,435,701
Arena,125,435,642
Arena,126,435,584
Arena,127,435,527
Arena,128,435,468
Arena,129,510,410
Arena,130,510,468
Arena,131,510,527
Arena,132,510,584
Arena,133,510,642
Arena,134,510,701
Arena,135,510,759
Arena,136,510,876
Arena,137,510,933
Arena,138,510,992
Arena,139,510,1051
Arena,140,510,1110
Arena,141,510,1168
Arena,142,509,1320
Arena,143,590,1225
Arena,144,590,1168
Arena,145,590,1110
Arena,146,590,1051
Arena,147,590,992
Arena,148,590,933
Arena,149,590,876
Arena,150,590,759
Arena,151,590,701
Arena,152,590,642
Arena,153,590,584
Arena,154,590,527
Arena,155,590,468
Arena,156,590,410
Arena,157,663,410
Arena,158,663,468
Arena,159,663,527
Arena,160,663,584
Arena,161,663,642
Arena,162,663,701
Arena,163,663,759
Arena,164,663,876
Arena,165,663,933
Arena,166,663,992
Arena,167,663,1051
Arena,168,663,1110
Arena,169,663,1168
Arena,170,663,1225
Arena,171,710,1320
Arena,172,745,1168
Arena,173,745,1110
Arena,174,745,1051
Arena,175,745,992
Arena,176,745,933
Arena,177,745,876
Arena,178,745,759
Arena,179,745,701
Arena,180,745,642
Arena,181,745,584
Arena,182,745,527
Arena,183,745,468
Arena,184,670,295
Arena,185,755,295
Arena,186,850,340
Arena,187,900,390
Arena,188,815,468
Arena,189,815,527
Arena,190,815,584
Arena,191,815,642
Arena,192,815,701
Arena,193,815,759
Arena,194,815,876
Arena,195,815,933
Arena,196,815,992
Arena,197,815,1051
Arena,198,815,1110
Arena,199,780,1280
Arena,200,835,1245
Arena,201,890,1205
Arena,202,970,1102
Arena,203,970,1045
Arena,204,970,986
Arena,205,970,927
Arena,206,970,868
Arena,207,970,811
Arena,208,970,752
Arena,209,970,694
Arena,210,970,636
Arena,211,970,577
Arena,212,970,519
Concourse,300,135,690
Concourse,301,195,725
Concourse,302,190,760
Concourse,303,185,785
Concourse,304,180,815
Concourse,305,180,845
Concourse,306,185,870
Concourse,307,185,930
Concourse,308,195,970
